Date,Symbol,Quantity,Price,Trade Type
2023-01-03 05:00:00+00:00,TPL,2.0,2307.17,buy
2023-01-03 05:00:00+00:00,TSLA,42.0,118.47,buy
2023-01-03 05:00:00+00:00,GEHC,82.0,60.68,buy
2023-01-03 05:00:00+00:00,ENPH,18.0,269.17,buy
2023-01-03 05:00:00+00:00,DAY,76.0,65.14,buy
2023-01-03 05:00:00+00:00,NCLH,400.0,12.5,buy
2023-01-03 05:00:00+00:00,APA,108.0,45.89,buy
2023-01-03 05:00:00+00:00,GNRC,48.0,102.69,buy
2023-01-03 05:00:00+00:00,CEG,58.0,86.0,buy
2023-01-03 05:00:00+00:00,MPWR,13.0,359.65,buy
2023-01-03 05:00:00+00:00,META,-40.0,122.82,sell
2023-01-03 05:00:00+00:00,CINF,-48.0,102.4,sell
2023-01-03 05:00:00+00:00,CHD,-61.0,80.75,sell
2023-01-03 05:00:00+00:00,VTRS,-446.0,11.19,sell
2023-01-03 05:00:00+00:00,CMCSA,-143.0,34.94,sell
2023-01-03 05:00:00+00:00,AOS,-86.0,57.86,sell
2023-01-03 05:00:00+00:00,IP,-143.0,34.76,sell
2023-01-03 05:00:00+00:00,D,-81.0,61.32,sell
2023-01-03 05:00:00+00:00,NEM,-103.0,48.27,sell
2023-01-03 05:00:00+00:00,MHK,-48.0,103.75,sell
2023-01-03 05:00:00+00:00,TPL,-2.0,2102.61,close
2023-01-03 05:00:00+00:00,TSLA,-42.0,108.1,close
2023-01-03 05:00:00+00:00,GEHC,-82.0,56.0,close
2023-01-03 05:00:00+00:00,ENPH,-18.0,253.31,close
2023-01-03 05:00:00+00:00,DAY,-76.0,61.57,close
2023-01-03 05:00:00+00:00,NCLH,-400.0,11.86,close
2023-01-03 05:00:00+00:00,APA,-108.0,43.62,close
2023-01-03 05:00:00+00:00,GNRC,-48.0,97.71,close
2023-01-03 05:00:00+00:00,CEG,-58.0,81.91,close
2023-01-03 05:00:00+00:00,MPWR,-13.0,342.95,close
2023-01-03 05:00:00+00:00,META,40.0,124.74,close
2023-01-03 05:00:00+00:00,CINF,48.0,104.01,close
2023-01-03 05:00:00+00:00,CHD,61.0,82.02,close
2023-01-03 05:00:00+00:00,VTRS,446.0,11.38,close
2023-01-03 05:00:00+00:00,CMCSA,143.0,35.57,close
2023-01-03 05:00:00+00:00,AOS,86.0,58.92,close
2023-01-03 05:00:00+00:00,IP,143.0,35.41,close
2023-01-03 05:00:00+00:00,D,81.0,62.97,close
2023-01-03 05:00:00+00:00,NEM,103.0,49.58,close
2023-01-03 05:00:00+00:00,MHK,48.0,106.86,close
2023-01-04 05:00:00+00:00,ANET,39.0,120.6,buy
2023-01-04 05:00:00+00:00,AES,169.0,28.27,buy
2023-01-04 05:00:00+00:00,ADM,53.0,89.41,buy
2023-01-04 05:00:00+00:00,PODD,16.0,289.47,buy
2023-01-04 05:00:00+00:00,ELV,9.0,502.33,buy
2023-01-04 05:00:00+00:00,CI,14.0,321.07,buy
2023-01-04 05:00:00+00:00,JNPR,146.0,32.76,buy
2023-01-04 05:00:00+00:00,SMCI,56.0,84.61,buy
2023-01-04 05:00:00+00:00,MRNA,26.0,182.42,buy
2023-01-04 05:00:00+00:00,UNH,9.0,518.64,buy
2023-01-04 05:00:00+00:00,EQT,-151.0,31.66,sell
2023-01-04 05:00:00+00:00,CZR,-110.0,43.25,sell
2023-01-04 05:00:00+00:00,KMX,-77.0,62.0,sell
2023-01-04 05:00:00+00:00,MGM,-142.0,33.8,sell
2023-01-04 05:00:00+00:00,UAL,-127.0,37.62,sell
2023-01-04 05:00:00+00:00,WBD,-490.0,9.79,sell
2023-01-04 05:00:00+00:00,PARA,-275.0,17.4,sell
2023-01-04 05:00:00+00:00,RCL,-97.0,49.3,sell
2023-01-04 05:00:00+00:00,CCL,-594.0,8.07,sell
2023-01-04 05:00:00+00:00,GEHC,-88.0,54.13,sell
2023-01-04 05:00:00+00:00,ANET,-39.0,113.84,close
2023-01-04 05:00:00+00:00,AES,-169.0,27.28,close
2023-01-04 05:00:00+00:00,ADM,-53.0,86.39,close
2023-01-04 05:00:00+00:00,PODD,-16.0,279.72,close
2023-01-04 05:00:00+00:00,ELV,-9.0,485.44,close
2023-01-04 05:00:00+00:00,CI,-14.0,310.3,close
2023-01-04 05:00:00+00:00,JNPR,-146.0,31.83,close
2023-01-04 05:00:00+00:00,SMCI,-56.0,82.25,close
2023-01-04 05:00:00+00:00,MRNA,-26.0,177.36,close
2023-01-04 05:00:00+00:00,UNH,-9.0,504.5,close
2023-01-04 05:00:00+00:00,EQT,151.0,33.21,close
2023-01-04 05:00:00+00:00,CZR,110.0,45.39,close
2023-01-04 05:00:00+00:00,KMX,77.0,65.12,close
2023-01-04 05:00:00+00:00,MGM,142.0,35.54,close
2023-01-04 05:00:00+00:00,UAL,127.0,39.72,close
2023-01-04 05:00:00+00:00,WBD,490.0,10.38,close
2023-01-04 05:00:00+00:00,PARA,275.0,18.5,close
2023-01-04 05:00:00+00:00,RCL,97.0,52.64,close
2023-01-04 05:00:00+00:00,CCL,594.0,8.74,close
2023-01-04 05:00:00+00:00,GEHC,88.0,60.49,close
2023-01-05 05:00:00+00:00,STZ,20.0,224.13,buy
2023-01-05 05:00:00+00:00,NOW,11.0,388.45,buy
2023-01-05 05:00:00+00:00,CZR,101.0,44.92,buy
2023-01-05 05:00:00+00:00,SHW,19.0,239.8,buy
2023-01-05 05:00:00+00:00,ETR,42.0,108.37,buy
2023-01-05 05:00:00+00:00,AES,169.0,26.99,buy
2023-01-05 05:00:00+00:00,DLR,44.0,102.3,buy
2023-01-05 05:00:00+00:00,MOH,14.0,311.29,buy
2023-01-05 05:00:00+00:00,EPAM,14.0,325.83,buy
2023-01-05 05:00:00+00:00,ENPH,18.0,248.55,buy
2023-01-05 05:00:00+00:00,MOS,-105.0,43.19,sell
2023-01-05 05:00:00+00:00,UAL,-115.0,39.6,sell
2023-01-05 05:00:00+00:00,NCLH,-372.0,12.25,sell
2023-01-05 05:00:00+00:00,CCL,-532.0,8.57,sell
2023-01-05 05:00:00+00:00,WBD,-439.0,10.38,sell
2023-01-05 05:00:00+00:00,MPC,-41.0,110.58,sell
2023-01-05 05:00:00+00:00,MKTX,-16.0,284.9,sell
2023-01-05 05:00:00+00:00,RCL,-89.0,50.99,sell
2023-01-05 05:00:00+00:00,WDC,-136.0,33.46,sell
2023-01-05 05:00:00+00:00,VLO,-38.0,119.62,sell
2023-01-05 05:00:00+00:00,STZ,-20.0,208.68,close
2023-01-05 05:00:00+00:00,NOW,-11.0,366.32,close
2023-01-05 05:00:00+00:00,CZR,-101.0,42.47,close
2023-01-05 05:00:00+00:00,SHW,-19.0,227.75,close
2023-01-05 05:00:00+00:00,ETR,-42.0,103.66,close
2023-01-05 05:00:00+00:00,AES,-169.0,25.87,close
2023-01-05 05:00:00+00:00,DLR,-44.0,98.08,close
2023-01-05 05:00:00+00:00,MOH,-14.0,298.54,close
2023-01-05 05:00:00+00:00,EPAM,-14.0,313.48,close
2023-01-05 05:00:00+00:00,ENPH,-18.0,240.37,close
2023-01-05 05:00:00+00:00,MOS,105.0,44.69,close
2023-01-05 05:00:00+00:00,UAL,115.0,41.24,close
2023-01-05 05:00:00+00:00,NCLH,372.0,12.76,close
2023-01-05 05:00:00+00:00,CCL,532.0,8.95,close
2023-01-05 05:00:00+00:00,WBD,439.0,10.86,close
2023-01-05 05:00:00+00:00,MPC,41.0,115.73,close
2023-01-05 05:00:00+00:00,MKTX,16.0,298.23,close
2023-01-05 05:00:00+00:00,RCL,89.0,53.38,close
2023-01-05 05:00:00+00:00,WDC,136.0,35.23,close
2023-01-05 05:00:00+00:00,VLO,38.0,126.59,close
2023-01-06 05:00:00+00:00,WAT,12.0,350.97,buy
2023-01-06 05:00:00+00:00,RVTY,31.0,140.53,buy
2023-01-06 05:00:00+00:00,A,28.0,154.36,buy
2023-01-06 05:00:00+00:00,TMO,7.0,555.76,buy
2023-01-06 05:00:00+00:00,PAYC,14.0,297.62,buy
2023-01-06 05:00:00+00:00,MTD,2.0,1503.67,buy
2023-01-06 05:00:00+00:00,BAX,87.0,50.0,buy
2023-01-06 05:00:00+00:00,ENPH,18.0,240.82,buy
2023-01-06 05:00:00+00:00,TTWO,40.0,107.08,buy
2023-01-06 05:00:00+00:00,IQV,20.0,208.89,buy
2023-01-06 05:00:00+00:00,AVGO,-7.0,563.12,sell
2023-01-06 05:00:00+00:00,MKTX,-14.0,300.41,sell
2023-01-06 05:00:00+00:00,KLAC,-11.0,379.99,sell
2023-01-06 05:00:00+00:00,MPWR,-12.0,350.96,sell
2023-01-06 05:00:00+00:00,MGM,-122.0,35.49,sell
2023-01-06 05:00:00+00:00,IDXX,-10.0,426.0,sell
2023-01-06 05:00:00+00:00,ODFL,-15.0,285.71,sell
2023-01-06 05:00:00+00:00,FSLR,-29.0,148.195,sell
2023-01-06 05:00:00+00:00,LUV,-132.0,33.0,sell
2023-01-06 05:00:00+00:00,TSLA,-42.0,103.0,sell
2023-01-06 05:00:00+00:00,WAT,-12.0,322.21,close
2023-01-06 05:00:00+00:00,RVTY,-31.0,133.53,close
2023-01-06 05:00:00+00:00,A,-28.0,147.67,close
